TimeKey	Id	BR_Code	sale
20140910	4	6	164
20140911	4	6	524
20140912	4	6	208
20140913	4	6	980
20140914	4	6	525
20140915	4	6	129
20140916	4	6	277
20140917	4	6	178
20140918	4	6	731
20140919	4	6	651
20140920	4	6	483
20140921	4	6	428
20140922	4	6	806
20140923	4	6	537
20140924	4	6	393
20140925	4	6	893
20140926	4	6	147
20140927	4	6	125
20140928	4	6	71
20140929	4	6	507
20140930	4	6	5
20141001	4	6	376
20141002	4	6	358
20141003	4	6	490
20141004	4	6	843
20141005	4	6	965
20141006	4	6	205
20141007	4	6	18
20141008	4	6	930
20141009	4	6	885
20141010	4	6	688
20141011	4	6	939
20141012	4	6	373
20141013	4	6	800
20141014	4	6	708
20141015	4	6	686
20141016	4	6	134
20141017	4	6	181
20141018	4	6	966
20141019	4	6	250
20141020	4	6	528
20141021	4	6	162
20141022	4	6	770
20141023	4	6	479
20141024	4	6	761
20141025	4	6	521
20141026	4	6	820
20141027	4	6	161
20141028	4	6	889
20141029	4	6	668
20141030	4	6	416
20141031	4	6	620
20141101	4	6	466
20141102	4	6	944
20141103	4	6	371
20141104	4	6	778
20141105	4	6	756
20141106	4	6	544
20141107	4	6	813
20141108	4	6	589
20141109	4	6	426
20141110	4	6	499
20141111	4	6	689
20141112	4	6	935
20141113	4	6	623
20141114	4	6	305
20141115	4	6	853
20141116	4	6	578
20141117	4	6	299
20141118	4	6	775
20141119	4	6	297
20141120	4	6	709
20141121	4	6	975
20141122	4	6	229
20141123	4	6	372
20141124	4	6	664
20141125	4	6	569
20141126	4	6	238
20141127	4	6	176
20141128	4	6	223
20141129	4	6	80
20141130	4	6	892
20141201	4	6	646
20141202	4	6	725
20141203	4	6	39
20141204	4	6	179
20141205	4	6	570
20141206	4	6	35
20141207	4	6	400
20141208	4	6	908
20141209	4	6	172
20141210	4	6	171
20141211	4	6	114
20141212	4	6	851
20141213	4	6	64
20141214	4	6	359
20141215	4	6	119
20141216	4	6	124
20141217	4	6	128
20141218	4	6	870
20141219	4	6	669
20141220	4	6	895
20141221	4	6	312
20141222	4	6	977
20141223	4	6	896
20141224	4	6	492
20141225	4	6	977
20141226	4	6	386
20141227	4	6	16
20141228	4	6	625
20141229	4	6	412
20141230	4	6	317
20141231	4	6	230
20150101	4	6	686
19050623	1	1	894
20090321	1	1	447
20090322	1	1	558
20090323	1	1	474
20090324	1	1	826
20090325	1	1	806
20090326	1	1	95
20090327	1	1	804
20090328	1	1	433
20090329	1	1	33
20090330	1	1	18
20090331	1	1	438
20090401	1	1	41
20090402	1	1	791
20090403	1	1	629
20090404	1	1	202
20090405	1	1	980
20090406	1	1	987
20090407	1	1	430
20090408	1	1	441
20090409	1	1	456
20090410	1	1	389
20090411	1	1	890
20090412	1	1	645
20090413	1	1	809
20090414	1	1	625
20090415	1	1	825
20090416	1	1	188
20090417	1	1	158
20090418	1	1	945
20090419	1	1	128
